"animal_ID","animal_birthdate","gender","treatment","genotype","other_category","date","test_cage","real_time_start","Lab_ID","Exclude_data","comment","experiment_folder_name","Behavior_sequence","Onemin_summary","Onehour_summary","primary_behav_sequence","primary_position_time","primary_datafile"
5892,"NA","female","NA","WT",8,"2004-12-23","NA","14:00","Steele_1",,,"12-23-04",,,"cage 2 5892 12-23-24-04 bins.xls",,,"hour_summary"
5891,"NA","female","NA","HD",8,"2004-12-24","NA","14:00","Steele_1",,,"12-24-04",,,"cage2 5891 12-24-25-04 bins.xls",,,"hour_summary"
5892,"NA","female","NA","WT",8,"2004-12-24","NA","14:00","Steele_1",,,"12-24-04",,,"cage4 5892 12-24-25-04 bins.xls",,,"hour_summary"
5210,"NA","female","NA","HD",8,"2004-12-27","NA","14:00","Steele_1",,,"12-27-04",,,"cage1 5210 12-27-28-04 bins.xls",,,"hour_summary"
5211,"NA","female","NA","WT",8,"2004-12-27","NA","14:00","Steele_1",,,"12-27-04",,,"cage3 5211 12-27-28-04 bins.xls",,,"hour_summary"
5210,"NA","female","NA","HD",8,"2004-12-28","NA","14:00","Steele_1",,,"12-28-04",,,"cage1 5210 12-28-29-04 bins.xls",,,"hour_summary"
5211,"NA","female","NA","WT",8,"2004-12-28","NA","14:00","Steele_1",,,"12-28-04",,,"cage3 5211 12-28-29-04 bins.xls",,,"hour_summary"
5891,"NA","female","NA","HD",9,"2005-02-01","NA","14:00","Steele_1",,,"2-1-05",,,"cage1 5891 2-1-2-05 bins.xls",,,"hour_summary"
5892,"NA","female","NA","WT",9,"2005-02-01","NA","14:00","Steele_1",,,"2-1-05",,,"cage3 5892 2-1-2-05 bins.xls",,,"hour_summary"
5891,"NA","female","NA","HD",9,"2005-02-02","NA","14:00","Steele_1",,,"2-2-05",,,"cage1 5891 2-2-3-05 bins.xls",,,"hour_summary"
5892,"NA","female","NA","WT",9,"2005-02-02","NA","14:00","Steele_1",,,"2-2-05",,,"cage3 5892 2-2-3-05 bins.xls",,,"hour_summary"
